N HSQ P NCAU START STOP EST
7500 0.05 1095 3 16050408 17674295 0.0579
7500 0.05 1095 3 16050408 17674295 0.0799
7500 0.05 1095 3 16050408 17674295 0.0823
7500 0.05 1095 3 16050408 17674295 0.0556
7500 0.5 1095 3 16050408 17674295 0.609
7500 0.5 1095 3 16050408 17674295 0.588
7500 0.5 1095 3 16050408 17674295 0.592
7500 0.5 1095 3 16050408 17674295 0.619
7500 0.5 1095 3 16050408 17674295 0.635
7500 0.5 1095 3 16050408 17674295 0.572
7500 0.5 1095 3 16050408 17674295 0.554
7500 0.5 1095 3 16050408 17674295 0.57
7500 0.5 1095 3 16050408 17674295 0.592
7500 0.5 1095 3 16050408 17674295 0.625
7500 0.5 1095 3 16050408 17674295 0.596
7500 0.5 1095 3 16050408 17674295 0.597
7500 0.5 1095 3 16050408 17674295 0.588
7500 0.5 1095 3 16050408 17674295 0.577
7500 0.5 1095 3 16050408 17674295 0.605
7500 0.5 1095 3 16050408 17674295 0.581
7500 0.5 1095 3 16050408 17674295 0.628
7500 0.5 1095 3 16050408 17674295 0.609
7500 0.5 1095 3 16050408 17674295 0.618
7500 0.5 1095 3 16050408 17674295 0.588
7500 0.5 1095 3 16050408 17674295 0.608
7500 0.5 1095 3 16050408 17674295 0.627
7500 0.5 1095 3 16050408 17674295 0.509
7500 0.5 1095 3 16050408 17674295 0.68
7500 0.5 1095 3 16050408 17674295 0.625
7500 0.5 1095 3 16050408 17674295 0.613
7500 0.5 1095 3 16050408 17674295 0.589
7500 0.5 1095 3 16050408 17674295 0.702
7500 0.5 1095 3 16050408 17674295 0.621
7500 0.5 1095 3 16050408 17674295 0.637
7500 0.5 1095 3 16050408 17674295 0.599
7500 0.5 1095 3 16050408 17674295 0.593
7500 0.5 1095 3 16050408 17674295 0.627
7500 0.5 1095 3 16050408 17674295 0.584
7500 0.5 1095 3 16050408 17674295 0.616
7500 0.5 1095 3 16050408 17674295 0.572
7500 0.5 1095 3 16050408 17674295 0.703
7500 0.5 1095 3 16050408 17674295 0.615
7500 0.5 1095 3 16050408 17674295 0.615
7500 0.5 1095 3 16050408 17674295 0.628
7500 0.5 1095 3 16050408 17674295 0.639
7500 0.5 1095 3 16050408 17674295 0.571
7500 0.5 1095 3 16050408 17674295 0.562
7500 0.5 1095 3 16050408 17674295 0.604
7500 0.5 1095 3 16050408 17674295 0.566
7500 0.5 1095 3 16050408 17674295 0.583
7500 0.5 1095 3 16050408 17674295 0.548
7500 0.5 1095 3 16050408 17674295 0.583
7500 0.5 1095 3 16050408 17674295 0.575
7500 0.5 1095 3 16050408 17674295 0.592
10000 0.0015 1095 3 16050408 17674295 0.0074
10000 0.0015 1095 3 16050408 17674295 0.00536
10000 0.0015 1095 3 16050408 17674295 0.000925
10000 0.0015 1095 3 16050408 17674295 0.00184
10000 0.0015 1095 3 16050408 17674295 0.00214
10000 0.0015 1095 3 16050408 17674295 0.0149
10000 0.0015 1095 3 16050408 17674295 -0.00148
10000 0.0015 1095 3 16050408 17674295 0.0214
10000 0.0015 1095 3 16050408 17674295 -0.00644
10000 0.0015 1095 3 16050408 17674295 -0.00269
10000 0.0015 1095 3 16050408 17674295 -0.00561
10000 0.0015 1095 3 16050408 17674295 -0.00413
10000 0.0015 1095 3 16050408 17674295 0.00225
10000 0.0015 1095 3 16050408 17674295 0.0091
10000 0.0015 1095 3 16050408 17674295 0.00753
10000 0.0015 1095 3 16050408 17674295 0.00356
10000 0.0015 1095 3 16050408 17674295 0.00851
10000 0.0015 1095 3 16050408 17674295 0.0073
10000 0.0015 1095 3 16050408 17674295 0.0086
10000 0.0015 1095 3 16050408 17674295 0.00474
10000 0.0015 1095 3 16050408 17674295 0.00575
10000 0.0015 1095 3 16050408 17674295 0.00695
10000 0.0015 1095 3 16050408 17674295 0.0101
10000 0.0015 1095 3 16050408 17674295 0.00774
10000 0.0015 1095 3 16050408 17674295 0.00354
10000 0.0015 1095 3 16050408 17674295 0.0072
10000 0.0015 1095 3 16050408 17674295 0.00469
10000 0.0015 1095 3 16050408 17674295 -0.00493
10000 0.0015 1095 3 16050408 17674295 0.00229
10000 0.0015 1095 3 16050408 17674295 0.00254
10000 0.0015 1095 3 16050408 17674295 0.00175
10000 0.0015 1095 3 16050408 17674295 0.00721
10000 0.0015 1095 3 16050408 17674295 0.00737
